         12034466 function calls (12015644 primitive calls) in 89.406 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      144    0.000    0.000    0.008    0.000 transforms.py:668(<listcomp>)
      706    0.000    0.000    0.001    0.000 transforms.py:1363(_iter_break_from_left_to_right)
      100    0.000    0.000    0.004    0.000 fromnumeric.py:2933(prod)
      388    0.000    0.000    0.005    0.000 fromnumeric.py:198(reshape)
      314    0.000    0.000    0.001    0.000 kernelbase.py:565(get_parent)
      103    0.000    0.000    0.001    0.000 std.py:108(release)
      204    0.000    0.000    0.001    0.000 __init__.py:12(escape)
     1634    0.000    0.000    0.000    0.000 __init__.py:826(<listcomp>)
       58    0.000    0.000    0.021    0.000 axis.py:291(draw)
      917    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
     2005    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      144    0.000    0.000    0.008    0.000 transforms.py:669(<listcomp>)
      103    0.000    0.000    0.001    0.000 std.py:104(acquire)
       48    0.000    0.000    0.002    0.000 patches.py:548(_bind_draw_path_function)
       40    0.000    0.000    0.000    0.000 function_base.py:1164(diff)
      280    0.000    0.000    0.002    0.000 artist.py:723(set_figure)
      321    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      356    0.000    0.000    0.000    0.000 _methods.py:101(_clip_dep_is_byte_swapped)
  348/337    0.000    0.000    0.008    0.000 traitlets.py:1227(notify_change)
      317    0.000    0.000    0.000    0.000 session.py:278(extract_header)
      100    0.000    0.000    0.235    0.002 notebook.py:267(update)
      160    0.000    0.000    0.001    0.000 backend_agg.py:52(get_hinting_flag)
      293    0.000    0.000    0.008    0.000 markers.py:219(__init__)
      144    0.000    0.000    0.008    0.000 transforms.py:670(<listcomp>)
     2038    0.000    0.000    0.000    0.000 fromnumeric.py:2758(_amin_dispatcher)
      128    0.000    0.000    0.007    0.000 patches.py:276(get_transform)
      460    0.000    0.000    0.006    0.000 fromnumeric.py:3730(round_)
        4    0.000    0.000    0.146    0.037 _base.py:4561(get_tightbbox)
      357    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(ndim)
  683/679    0.000    0.000    0.001    0.000 transforms.py:2602(get_matrix)
      696    0.000    0.000    0.001    0.000 transforms.py:2258(get_affine)
     1401    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
     2048    0.000    0.000    0.000    0.000 fromnumeric.py:2633(_amax_dispatcher)
      317    0.000    0.000    0.002    0.000 hmac.py:161(hexdigest)
      247    0.000    0.000    0.001    0.000 lines.py:630(set_data)
       32    0.000    0.000    0.004    0.000 ticker.py:433(__init__)
      317    0.000    0.000    0.000    0.000 {built-in method utcnow}
     1501    0.000    0.000    0.000    0.000 traitlets.py:981(__get__)
     2027    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       29    0.000    0.000    0.001    0.000 inspect.py:3043(_bind)
      528    0.000    0.000    0.000    0.000 {built-in method math.log10}
     1582    0.000    0.000    0.000    0.000 text.py:861(get_text)
       87    0.000    0.000    0.002    0.000 lines.py:1267(update_from)
       88    0.000    0.000    0.000    0.000 axis.py:1087(<listcomp>)
      176    0.000    0.000    0.001    0.000 ticker.py:1918(le)
       24    0.000    0.000    0.040    0.002 axis.py:475(__init__)
      748    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFF1F440920}
      738    0.000    0.000    0.001    0.000 abc.py:117(__instancecheck__)
       32    0.000    0.000    0.006    0.000 backend_agg.py:224(draw_text)
      126    0.000    0.000    0.001    0.000 path.py:191(_update_values)
       28    0.000    0.000    0.004    0.000 axis.py:349(_apply_params)
      394    0.000    0.000    0.001    0.000 traitlets.py:1494(has_trait)
      128    0.000    0.000    0.001    0.000 text.py:1227(_preprocess_math)
      102    0.000    0.000    0.001    0.000 widget_float.py:33(_validate_value)
     1162    0.000    0.000    0.000    0.000 multiarray.py:736(dot)
      176    0.000    0.000    0.001    0.000 ticker.py:1925(ge)
       32    0.000    0.000    0.002    0.000 ticker.py:1986(_validate_steps)
      158    0.000    0.000    0.006    0.000 font_manager.py:943(copy)
      100    0.000    0.000    0.002    0.000 text.py:936(set_color)
      737    0.000    0.000    0.000    0.000 transforms.py:1772(<lambda>)
      287    0.000    0.000    0.001    0.000 artist.py:1001(set_visible)
      100    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(prod)
